Month,Month Key,Sales Rep,New Leads,Opportunities,Won Deals,Won Revenue,Revenue Target,Win Rate,Sales Cycle Days
2026-04-01,2026-04,Deniz Koç,282,75,27,618000,434000,0.36,41
2026-05-01,2026-05,Ayşe Demir,363,85,24,455000,598000,0.2823529411764706,49
2026-05-01,2026-05,Emre Kaya,305,74,21,417000,546000,0.28378378378378377,47
2026-05-01,2026-05,Selin Yılmaz,297,75,22,458000,520000,0.29333333333333333,45
2026-05-01,2026-05,Can Arslan,309,80,26,565000,494000,0.325,44
2026-05-01,2026-05,Deniz Koç,278,74,27,612000,442000,0.36486486486486486,42
2026-06-01,2026-06,Ayşe Demir,320,75,21,392000,562000,0.28,50
2026-06-01,2026-06,Emre Kaya,289,70,19,372000,513000,0.2714285714285714,48
2026-06-01,2026-06,Selin Yılmaz,300,75,22,451000,489000,0.29333333333333333,46
2026-06-01,2026-06,Can Arslan,297,77,26,557000,464000,0.33766233766233766,45
2026-06-01,2026-06,Deniz Koç,248,66,24,536000,415000,0.36363636363636365,43
2026-07-01,2026-07,Ayşe Demir,306,72,19,353000,526000,0.2638888888888889,51
2026-07-01,2026-07,Emre Kaya,300,73,20,390000,480000,0.273972602739726,49
2026-07-01,2026-07,Selin Yılmaz,306,77,23,469000,458000,0.2987012987012987,47
2026-07-01,2026-07,Can Arslan,278,72,24,511000,435000,0.3333333333333333,46
2026-07-01,2026-07,Deniz Koç,228,61,22,489000,389000,0.36065573770491804,44
2026-08-01,2026-08,Ayşe Demir,326,77,20,370000,535000,0.2597402597402597,52
2026-08-01,2026-08,Emre Kaya,324,79,22,427000,488000,0.27848101265822783,50
2026-08-01,2026-08,Selin Yılmaz,306,77,24,487000,465000,0.3116883116883117,48
2026-08-01,2026-08,Can Arslan,266,69,24,509000,442000,0.34782608695652173,47
2026-08-01,2026-08,Deniz Koç,233,62,23,509000,395000,0.3709677419354839,45
2026-09-01,2026-09,Ayşe Demir,363,85,22,407000,578000,0.25882352941176473,53
2026-09-01,2026-09,Emre Kaya,339,82,23,446000,528000,0.2804878048780488,51
2026-09-01,2026-09,Selin Yılmaz,299,75,24,487000,503000,0.32,49
2026-09-01,2026-09,Can Arslan,268,69,24,509000,478000,0.34782608695652173,48
2026-09-01,2026-09,Deniz Koç,256,68,25,553000,428000,0.36764705882352944,46
2026-10-01,2026-10,Ayşe Demir,396,93,24,446000,609000,0.25806451612903225,53
2026-10-01,2026-10,Emre Kaya,341,83,24,468000,556000,0.2891566265060241,51
2026-10-01,2026-10,Selin Yılmaz,300,75,24,490000,529000,0.32,49
2026-10-01,2026-10,Can Arslan,295,76,27,575000,503000,0.35526315789473684,48
2026-10-01,2026-10,Deniz Koç,288,77,28,622000,450000,0.36363636363636365,46
2026-11-01,2026-11,Ayşe Demir,410,96,25,469000,637000,0.2604166666666667,52
2026-11-01,2026-11,Emre Kaya,342,83,24,472000,581000,0.2891566265060241,50
2026-11-01,2026-11,Selin Yılmaz,325,82,27,556000,554000,0.32926829268292684,48
2026-11-01,2026-11,Can Arslan,338,88,31,667000,526000,0.3522727272727273,47
2026-11-01,2026-11,Deniz Koç,312,83,29,651000,471000,0.3493975903614458,45
2026-12-01,2026-12,Ayşe Demir,393,92,24,455000,671000,0.2608695652173913,51
2026-12-01,2026-12,Emre Kaya,345,84,25,497000,613000,0.2976190476190476,49
2026-12-01,2026-12,Selin Yılmaz,355,89,30,624000,583000,0.33707865168539325,47
2026-12-01,2026-12,Can Arslan,358,93,32,695000,554000,0.34408602150537637,46
2026-12-01,2026-12,Deniz Koç,305,81,28,634000,496000,0.345679012345679,44
